id,label
0,0
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,0
11,1
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,1
21,1
22,0
23,1
24,1
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,0
78,1
79,0
80,1
81,1
82,0
83,0
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,0
119,1
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,1
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,1
159,1
160,1
161,0
162,1
163,0
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,0
182,1
183,1
184,0
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,0
194,1
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,1
220,0
221,1
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,1
234,0
235,0
236,1
237,0
238,1
239,0
240,1
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,1
254,1
255,0
256,1
257,0
258,0
259,0
260,1
261,1
262,0
263,1
264,0
265,1
266,0
267,1
268,0
269,1
270,1
271,1
272,0
273,1
274,0
275,1
276,0
277,1
278,1
279,0
280,1
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,1
289,1
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,0
299,0
300,0
301,1
302,1
303,0
304,0
305,1
306,0
307,1
308,0
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,1
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,1
325,0
326,1
327,0
328,1
329,0
330,1
331,1
332,0
333,1
334,1
335,1
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,0
349,0
350,0
351,1
352,0
353,1
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,0
366,0
367,1
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,0
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,0
386,0
387,1
388,0
389,0
390,0
391,0
392,1
393,1
394,1
395,1
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,1
406,0
407,0
408,0
409,1
410,0
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,1
419,0
420,0
421,0
422,1
423,1
424,0
425,0
426,0
427,1
428,1
429,1
430,1
431,1
432,0
433,0
434,1
435,1
436,0
437,1
438,1
439,0
440,0
441,1
442,0
443,0
444,0
445,1
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,1
454,1
455,1
456,1
457,0
458,1
459,0
460,1
461,0
462,0
463,1
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,1
474,1
475,0
476,0
477,0
478,1
479,1
480,1
481,0
482,0
483,1
484,1
485,0
486,1
487,1
488,1
489,1
490,1
491,0
492,0
493,1
494,0
495,0
496,1
497,1
498,0
499,0
500,1
501,0
502,0
503,0
504,0
505,1
506,1
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,1
520,1
521,0
522,1
523,0
524,1
525,1
526,1
527,0
528,0
529,0
530,0
531,1
532,1
